2026-05-09 13:15:24,227 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54594476: 90:25:020103:2975 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:24,812 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54594929: 90:25:020103:2977 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:25,651 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54595280: 90:25:020103:2987 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:26,678 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54595591: 90:25:020103:2993 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:27,480 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54595981: 90:25:020103:2994 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:28,216 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55134311: 90:25:020103:2995 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:28,794 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54596375: 90:25:020103:2998 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:29,388 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54596810: 90:25:020103:2999 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:30,104 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54597211: 90:25:020103:3001 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:30,790 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54598074: 90:25:020103:3026 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:31,419 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54598349: 90:25:020103:3042 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:32,146 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54598834: 90:25:020103:3047 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:32,729 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54599034: 90:25:020103:3054 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:33,297 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54599482: 90:25:020103:3055 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:33,974 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54600022: 90:25:020103:3076 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:34,568 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54600327: 90:25:020103:3077 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:35,217 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54600807: 90:25:020103:3078 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:35,796 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54601364: 90:25:020103:3079 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:36,370 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54601716: 90:25:020103:3104 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:37,033 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54602042: 90:25:020103:3105 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:37,623 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55133949: 90:25:020103:3153 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:38,208 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54602478: 90:25:020103:3161 (structure), прав: 1, ограничений объекта: 0
